"GeographyId","GeographyName"
157,"Antigua"
158,"Albania"
159,"Central African Republic"
160,"Afghanistan"
161,"Angola"
162,"Anguilla"
163,"Azerbaijan"
164,"Algeria"
165,"Armenia"
166,"Laos"
167,"Argentina"
168,"American Samoa"
169,"Austria"
170,"Australia"
171,"Aruba"
172,"Barbados"
173,"Bermuda"
174,"Belgium"
175,"Burkina Faso"
176,"Bangladesh"
177,"Bahrain"
178,"Benin"
179,"Belarus"
180,"Bahamas"
181,"Bhutan"
182,"Brazil"
183,"Bosnia-Herzegovina"
184,"Bulgaria"
185,"Bolivia"
186,"Belize"
187,"Canada"
188,"Cambodia"
189,"Chad"
190,"Congo-Brazzaville"
191,"Switzerland"
192,"Côte d'Ivoire"
193,"Chile"
194,"Cayman Islands"
195,"China"
202,"Colombia"
203,"Sao Tomé e Príncipe"
204,"Croatia"
205,"Czech Republic"
206,"Cuba"
207,"Cape Verde"
208,"Cyprus"
212,"Germany"
213,"Djibouti"
214,"Denmark"
215,"Dominica"
216,"Dominican Republic"
230,"Ecuador"
231,"Eritrea"
232,"Egypt"
233,"Brunei"
234,"Ethiopia"
235,"Equatorial Guinea"
236,"Spain"
237,"Estonia"
239,"French Guiana"
240,"Finland"
241,"Fiji"
242,"French Polynesia"
243,"France"
245,"United Kingdom"
246,"Madagascar"
247,"Grenada"
248,"Georgia"
249,"Ghana"
250,"Gibraltar"
251,"Guam"
252,"Gabon"
253,"Guadeloupe"
254,"Greece"
255,"Guatemala"
256,"Guinea"
257,"Guyana"
258,"Honduras"
259,"Hong Kong, China"
260,"Haiti"
261,"Hungary"
262,"Iceland"
263,"Indonesia"
264,"Ireland"
265,"India"
270,"Iraq"
271,"Iran"
272,"Israel"
273,"Italy"
274,"Jamaica"
275,"Jordan"
276,"Japan"
277,"Sri Lanka"
278,"Kiribati"
279,"Kazakhstan"
280,"South Korea"
281,"St Kitts"
282,"Kuwait"
283,"Kenya"
284,"Kyrgyzstan"
285,"Latvia"
286,"Lebanon"
287,"St Lucia"
288,"Liberia"
289,"Liechtenstein"
292,"Sierra Leone"
293,"Lesotho"
294,"El Salvador"
295,"Lithuania"
296,"Luxembourg"
297,"Libya"
298,"Maldives"
299,"Gambia"
300,"Macedonia"
301,"Mali"
302,"Mongolia"
303,"Mauritania"
304,"Monaco"
305,"Morocco"
306,"Martinique"
307,"Myanmar"
308,"Comoros"
309,"Malta"
310,"Macau"
311,"Moldova"
312,"Malawi"
313,"Mexico"
314,"Malaysia"
316,"Namibia"
317,"Nicaragua"
318,"Nigeria"
319,"North Korea"
320,"Netherlands"
321,"Niger"
322,"Norway"
323,"Nepal"
325,"Nauru"
326,"New Caledonia"
327,"New Zealand"
328,"Oman"
329,"Cameroon"
330,"Paraguay"
331,"Philippines"
332,"Pakistan"
333,"Poland"
334,"Panama"
335,"Papua New Guinea"
336,"Puerto Rico"
337,"Portugal"
338,"Peru"
339,"Qatar"
340,"Costa Rica"
341,"Romania"
342,"Andorra"
344,"Russia"
347,"Rwanda"
348,"Saudi Arabia"
350,"Sudan"
351,"Sweden"
352,"Singapore"
353,"Solomon Islands"
354,"Slovakia"
355,"Senegal"
356,"Somalia"
357,"Guinea-Bissau"
358,"Suriname"
359,"Slovenia"
360,"Botswana"
361,"Syria"
362,"Swaziland"
363,"Tonga"
364,"Thailand"
365,"Tajikistan"
366,"Turkmenistan"
367,"Togo"
368,"Turkey"
369,"Mauritius"
370,"Trinidad and Tobago"
371,"Tunisia"
372,"Tuvalu"
373,"Taiwan"
374,"Tanzania"
375,"United Arab Emirates"
376,"Uganda"
377,"Ukraine"
378,"Réunion"
380,"USA"
381,"Burundi"
382,"Uruguay"
383,"Uzbekistan"
384,"Venezuela"
385,"St Vincent and the Grenadines"
386,"British Virgin Islands"
387,"Vietnam"
388,"Vanuatu"
390,"Samoa"
391,"Seychelles"
392,"Yemen"
393,"South Africa"
394,"Zambia"
395,"Congo, Democratic Republic"
396,"Mozambique"
397,"Zimbabwe"
408,"Serbia"
468,"Kosovo"
469,"Montenegro"
493,"Curacao"
495,"Sint Maarten"
525,"South Sudan"
526,"US Virgin Islands"
