"","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol), three-year average"
"Country"," 2008-2010"," 2003-2005"
"Afghanistan","0.0","0.0"
"Albania","4.9","4.5"
"Algeria","0.7","0.7"
"Andorra","12.4","18.0"
"Angola","5.9","3.8"
"Antigua and Barbuda","4.9","5.8"
"Argentina","8.3","7.6"
"Armenia","3.8","3.6"
"Australia","10.4","10.0"
"Austria","9.7","10.3"
"Azerbaijan","1.3","0.8"
"Bahamas","6.3","8.4"
"Bahrain","2.0","3.9"
"Bangladesh","0.0","0.0"
"Barbados","6.3","6.3"
"Belarus","14.4","11.2"
"Belgium","10.5","11.0"
"Belize","6.8","5.3"
"Benin","1.1","1.2"
"Bhutan","0.4","0.8"
"Bolivia (Plurinational State of)","3.8","2.6"
"Bosnia and Herzegovina","4.6","4.6"
"Botswana","5.4","5.6"
"Brazil","7.2","6.8"
"Brunei Darussalam","0.6","0.1"
"Bulgaria","10.3","10.4"
"Burkina Faso","4.3","4.5"
"Burundi","6.3","6.5"
"Côte d'Ivoire","4.0","4.5"
"Cabo Verde","4","3.6 3.6"
"Cambodia","2.2","1.6 1.6"
"Cameroon","5.8","5.0 5.0"
"Canada","8.2","7.8 7.8"
"Central African Republic","1.8","1.6"
"Chad","0.4","0.4"
"Chile","7.6","6.8"
"China","5.0","3.2"
"Colombia","4.2","4.2"
"Comoros","0.1","0.3"
"Congo","1.7","2.0"
"Cook Islands","5.9","3.2"
"Costa Rica","4.4","4.1"
"Croatia","10.2","11.5"
"Cuba","4.2","4.4"
"Cyprus","8.2","7.7"
"Czech Republic","11.8","11.8"
"Democratic People's Republic of Korea","3.2","3.2"
"Democratic Republic of the Congo","2.3","1.7"
"Denmark","10.4","11.4"
"Djibouti","1.1","1.4"
"Dominica","6.6","7.5"
"Dominican Republic","6.2","5.7"
"Ecuador","4.2","3.8"
"Egypt","0.2","0.2"
"El Salvador","2.2","2.6"
"Equatorial Guinea","5.8","8.3"
"Eritrea","0.5","0.8"
"Estonia","15.7","11.8"
"Ethiopia","0.7","0.9"
"Fiji","2.0","1.4"
"Finland","10.0","9.7"
"France","11.8","13.0"
"Gabon","8.9","6.8"
"Gambia","2.4","2.4"
"Georgia","5.4","3.1"
"Germany","11.3","11.8"
"Ghana","1.8","1.5"
"Greece","8.3","9.0"
"Grenada","11.9","10.5"
"Guatemala","2.2","2.4"
"Guinea","0.2","0.3"
"Guinea-Bissau","2.5","2.7"
"Guyana","7.1","7.3"
"Haiti","5.9","6.1"
"Honduras","3.0","3.1"
"Hungary","11.3","13.1"
"Iceland","6.6","6.0"
"India","2.2","1.6"
"Indonesia","0.1","0.1"
"Iran (Islamic Republic of)","0.0","0.0"
"Iraq","0.2","0.2"
"Ireland","11.4","13.4"
"Israel","2.5","2.3"
"Italy","6.5","8.1"
"Jamaica","3.4","3.5"
"Japan","7.0","7.8"
"Jordan","0.5","0.5"
"Kazakhstan","6.8","6.4"
"Kenya","1.8","1.6"
"Kiribati","1.0","1.3"
"Kuwait","0.0","0.0"
"Kyrgyzstan","2.4 2.4","3.2 3.2"
"Lao People's Democratic Republic","6.2","5.7"
"Latvia","10.5","9.0"
"Lebanon","1.9","1.8"
"Lesotho","2.8","2.1"
"Liberia","3.1","3.5"
"Libya","0.0","0.0"
"Lithuania","12.9","11.9"
"Luxembourg","11.4","12.3"
"Madagascar","0.8","0.7"
"Malawi","1.5","1.3"
"Malaysia","0.3","0.5"
"Maldives","0.7","0.4"
"Mali","0.6","0.5"
"Malta","6.6","5.0"
"Marshall Islands","",""
"Mauritania","0.0","0.0"
"Mauritius","2.6","2.8"
