"","Alcohol, tourist consumption (in litres of pure alcohol)"
"Country"," 2010"
"Afghanistan",""
"Albania","0.5"
"Algeria",""
"Andorra","1.3"
"Angola",""
"Antigua and Barbuda","3.4"
"Argentina",""
"Armenia",""
"Australia",""
"Austria","2.3"
"Azerbaijan",""
"Bahamas","4.2"
"Bahrain","0.8"
"Bangladesh",""
"Barbados","0.6"
"Belarus",""
"Belgium",""
"Belize",""
"Benin",""
"Bhutan",""
"Bolivia (Plurinational State of)",""
"Bosnia and Herzegovina",""
"Botswana","0.4"
"Brazil",""
"Brunei Darussalam",""
"Bulgaria",""
"Burkina Faso",""
"Burundi",""
"Côte d'Ivoire",""
"Cabo Verde",""
"Cambodia",""
"Cameroon",""
"Canada",""
"Central African Republic",""
"Chad",""
"Chile",""
"China",""
"Colombia",""
"Comoros",""
"Congo",""
"Cook Islands","2.3"
"Costa Rica",""
"Croatia","0.7"
"Cuba",""
"Cyprus",""
"Czech Republic",""
"Democratic People's Republic of Korea",""
"Democratic Republic of the Congo",""
"Denmark",""
"Djibouti",""
"Dominica","0.5"
"Dominican Republic",""
"Ecuador",""
"Egypt",""
"El Salvador",""
"Equatorial Guinea",""
"Eritrea",""
"Estonia","3.1"
"Ethiopia",""
"Fiji",""
"Finland",""
"France",""
"Gabon",""
"Gambia",""
"Georgia",""
"Germany",""
"Ghana",""
"Greece",""
"Grenada","1.0"
"Guatemala",""
"Guinea",""
"Guinea-Bissau",""
"Guyana",""
"Haiti",""
"Honduras",""
"Hungary",""
"Iceland","0.4"
"India",""
"Indonesia",""
"Iran (Islamic Republic of)",""
"Iraq",""
"Ireland","0.5"
"Israel",""
"Italy",""
"Jamaica",""
"Japan",""
"Jordan",""
"Kazakhstan",""
"Kenya",""
"Kiribati",""
"Kuwait",""
"Kyrgyzstan"," "
"Lao People's Democratic Republic",""
"Latvia",""
"Lebanon",""
"Lesotho",""
"Liberia",""
"Libya",""
"Lithuania",""
"Luxembourg",""
"Madagascar",""
"Malawi",""
"Malaysia","0.2"
"Maldives","0.7"
"Mali",""
"Malta",""
"Marshall Islands",""
"Mauritania",""
"Mauritius",""
"Mexico",""
"Micronesia (Federated States of)",""
"Monaco",""
"Mongolia",""
"Montenegro","0.8"
"Morocco",""
"Mozambique",""
"Myanmar",""
"Namibia",""
"Nauru",""
"Nepal",""
"Netherlands",""
"New Zealand",""
"Nicaragua"," "
"Niger"," "
"Nigeria",""
"Niue"," "
"Norway",""
"Oman",""
"Pakistan",""
"Palau","1.9"
"Panama",""
"Papua New Guinea",""
"Paraguay",""
"Peru",""
"Philippines",""
"Poland",""
"Portugal",""
"Qatar","0.8"
"Republic of Korea",""
"Republic of Moldova",""
"Romania",""
"Russian Federation",""
"Rwanda",""
"Saint Kitts and Nevis","2.1"
"Saint Lucia","2.0"
"Saint Vincent and the Grenadines",""
"Samoa","0.2"
"San Marino",""
"Sao Tome and Principe",""
"Saudi Arabia",""
"Senegal",""
"Serbia",""
"Seychelles","0.7"
"Sierra Leone",""
"Singapore","0.4"
"Slovakia",""
"Solomon Islands",""
"Somalia",""
"South Africa",""
"Spain",""
"Sri Lanka",""
"Sudan",""
"Suriname",""
"Swaziland","0.2"
"Sweden",""
"Switzerland",""
"Syrian Arab Republic",""
"Tajikistan",""
"Thailand",""
"The former Yugoslav republic of Macedonia",""
"Timor-Leste",""
"Togo",""
"Tonga",""
"Trinidad and Tobago",""
"Tunisia",""
"Turkey",""
"Turkmenistan",""
"Tuvalu",""
"Uganda",""
"Ukraine",""
"United Arab Emirates","0.9"
"United Kingdom of Great Britain and Northern Ireland",""
"United Republic of Tanzania",""
"United States of America",""
"Uruguay",""
"Uzbekistan",""
"Vanuatu",""
"Venezuela (Bolivarian Republic of)",""
"Viet Nam",""
"Yemen",""
"Zambia",""
"Zimbabwe",""
