"","Alcohol, unrecorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, unrecorded per capita (15+) consumption (in litres of pure alcohol)"
"Country"," 2010"," 2005"
"Afghanistan","0.7","0.0"
"Albania","2.1","2.1"
"Algeria","0.3","0.3"
"Andorra","1.4","1.4"
"Angola","1.6","1.6"
"Antigua and Barbuda","0.4","0.5"
"Argentina","1.0","2.0"
"Armenia","1.5","1.3"
"Australia","1.8","0.1"
"Austria","0.6","0.6"
"Azerbaijan","1.0","3.3"
"Bahamas","0.5","0.6"
"Bahrain","0.1","0.1"
"Bangladesh","0.2","0.2"
"Barbados","0.5","0.5"
"Belarus","3.2","3.9"
"Belgium","0.5","1.0"
"Belize","1.7","1.0"
"Benin","1.0","1.0"
"Bhutan","0.3","0.3"
"Bolivia (Plurinational State of)","2.1","2.5"
"Bosnia and Herzegovina","2.5","2.5"
"Botswana","3.0","3.0"
"Brazil","1.5","3.0"
"Brunei Darussalam","0.3","0.3"
"Bulgaria","1.1","1.2"
"Burkina Faso","2.5","2.5"
"Burundi","3.0","3.0"
"Côte d'Ivoire","2.0","2.0"
"Cabo Verde","2.9","2.9"
"Cambodia","3.3","3.0"
"Cameroon","2.6","2.6"
"Canada","2.0","2.0"
"Central African Republic","2.0","1.7"
"Chad","4.0","4.0"
"Chile","2.0","2.0"
"China","1.7","1.7"
"Colombia","2.0","2.0"
"Comoros","0.1","0.1"
"Congo","2.2","2.2"
"Cook Islands","0.5","0.5"
"Costa Rica","1.0","1.4"
"Croatia","2.0","2.5"
"Cuba","1.0","1.1"
"Cyprus","1.0","1.0"
"Czech Republic","1.2","1.5"
"Democratic People's Republic of Korea","0.5","1.0"
"Democratic Republic of the Congo","1.3","1.3"
"Denmark","1","2.0"
"Djibouti","0.2","0.5"
"Dominica","0.5","0.5"
"Dominican Republic","0.7","0.6"
"Ecuador","3.0","5.4"
"Egypt","0.2","0.1"
"El Salvador","1.0","1.0"
"Equatorial Guinea","0.8","0.8"
"Eritrea","0.6","0.6"
"Estonia","0.7","1.8"
"Ethiopia","3.5","3.5"
"Fiji","1.0","1.0"
"Finland","2.3","2.8"
"France","0.4","0.4"
"Gabon","2.0","2.0"
"Gambia","1.0","1.0"
"Georgia","2.3","2.5"
"Germany","0.5","1.0"
"Ghana","3.0","1.5"
"Greece","2.0","1.8"
"Grenada","0.7","0.5"
"Guatemala","1.6","1.6"
"Guinea","0.5","0.5"
"Guinea-Bissau","1.5","1.1"
"Guyana","1.0","2.0"
"Haiti","0.6","0.6"
"Honduras","1.0","1.4"
"Hungary","2.0","4.0"
"Iceland","0.5","0.4"
"India","2.2","2.0"
"Indonesia","0.5","0.5"
"Iran (Islamic Republic of)","1.0","1.0"
"Iraq","0.3","0.2"
"Ireland","0.5","1.0"
"Israel","0.3","0.5"
"Italy","0.2","2.4"
"Jamaica","1.5","1.5"
"Japan","0.2","0.2"
"Jordan","0.2","0.3"
"Kazakhstan","3.5","4.9"
"Kenya","2.5","2.5"
"Kiribati","2.0","2.0"
"Kuwait","0.1","0.1"
"Kyrgyzstan","1.9 1.9","1.9 1.9"
"Lao People's Democratic Republic","1.1","1.0"
"Latvia","1.8","3.0"
"Lebanon","0.5","0.5"
"Lesotho","3.7","3.7"
"Liberia","1.6","1.6"
"Libya","0.1","0.1"
"Lithuania","2.5","3.0"
"Luxembourg","0.5","1.0"
"Madagascar","1.0","0.6"
"Malawi","1.0","0.5"
"Malaysia","1.0","0.3"
"Maldives","0.5","0.5"
"Mali","0.5","0.5"
"Malta","0.4","0.4"
"Marshall Islands","",""
"Mauritania","0.1","0.1"
"Mauritius","1.0","1.0"
"Mexico","1.8","3.4"
"Micronesia (Federated States of)","1.0","1.0"
"Monaco","",""
"Mongolia","2.0","2.0"
"Montenegro","3.9",""
"Morocco","0.5","1.0"
"Mozambique","1.0","0.8"
"Myanmar","0.6","0.5"
"Namibia","4.0","3.8"
"Nauru","2.5","2.5"
"Nepal","2.0","2.2"
"Netherlands","0.5","0.5"
"New Zealand","1.6","0.5"
"Nicaragua","1.5","1.6"
"Niger","0.2","0.3"
"Nigeria","1.0","2.5"
"Niue","1.0","1.0"
"Norway","1.0","1.6"
"Oman","0.2","0.3"
"Pakistan","0.0","0.1"
"Palau","1.0","1.0"
"Panama","0.8","1.0"
"Papua New Guinea","1.5","2.0"
"Paraguay","1.5","1.5"
"Peru","2.0","4.0"
"Philippines","0.9","2.0"
"Poland","1.6","3.7"
"Portugal","1.9","2.1"
"Qatar","0.6","0.4"
"Republic of Korea","2.5","3.0"
"Republic of Moldova","10.5","10.0"
"Romania","4.0","4.0"
"Russian Federation","3.6","4.7"
"Rwanda","3.0","3.0"
"Saint Kitts and Nevis","0.5","0.5"
"Saint Lucia","0.2","0.5"
"Saint Vincent and the Grenadines","0.3","0.5"
"Samoa","1.0","1.0"
"San Marino","",""
"Sao Tome and Principe","2.9","2.9"
"Saudi Arabia","0.1","0.2"
"Senegal","0.3","0.3"
"Serbia","2.9","1.1"
"Seychelles","1.5","1.0"
"Sierra Leone","2.0","3.0"
"Singapore","0.5","1.0"
"Slovakia","1.7","3.0"
"Slovenia","1.0","3.0"
"Solomon Islands","0.5","0.5"
"Somalia","0.5","0.5"
"South Africa","2.9","2.5"
"Spain","1.2","1.4"
"Sri Lanka","1.5","0.4"
"Sudan","1.0","1.0"
"Suriname","1.0","0.9"
"Swaziland","1.0","0.0"
"Sweden","2.0","3.6"
"Switzerland","0.5","0.5"
"Syrian Arab Republic","0.3","0.3"
"Tajikistan","2.5","3.0"
"Thailand","0.7","0.7"
"The former Yugoslav republic of Macedonia","2.8","2.9"
"Timor-Leste","0.5","0.5"
"Togo","1.0","1.0"
"Tonga","0.5","0.5"
"Trinidad and Tobago","0.3","0.5"
"Tunisia","0.2","0.2"
"Turkey","0.6","2.0"
"Turkmenistan","2.2","2.3"
"Tuvalu","0.5","0.5"
"Uganda","1.5","1.0"
"Ukraine","5.0","7.5"
"United Arab Emirates","1.5","0.2"
"United Kingdom of Great Britain and Northern Ireland","1.2","1.3"
"United Republic of Tanzania","2.0","2.0"
"United States of America","0.5","1.0"
"Uruguay","1.0","2.0"
"Uzbekistan","2.1","1.9"
"Vanuatu","0.5","0.5"
"Venezuela (Bolivarian Republic of)","1.3","1.4"
"Viet Nam","4.6","2.7"
"Yemen","0.2","0.2"
"Zambia","1.5","1.5"
"Zimbabwe","1.0","1.0"
